vederböra	vb_0d_vederböra
hasardera	vb_1a_beundra
haspla	vb_1a_beundra
haverera	vb_1a_beundra
hbt-certifiera	vb_1a_beundra
hedra	vb_1a_beundra
hektografera	vb_1a_beundra
helförsäkra	vb_1a_beundra
helgardera	vb_1a_beundra
helgonförklara	vb_1a_beundra
helinackordera	vb_1a_beundra
hemligstämpla	vb_1a_beundra
hemmaförlora	vb_1a_beundra
hena	vb_1a_beundra
heroisera	vb_1a_beundra
hesna	vb_1a_beundra
hinka	vb_1a_beundra
historiera	vb_1a_beundra
historisera	vb_1a_beundra
högerklicka	vb_1a_beundra
högprioritera	vb_1a_beundra
holografera	vb_1a_beundra
homogenisera	vb_1a_beundra
honorera	vb_1a_beundra
hoprafsa	vb_1a_beundra
hörsamma	vb_1a_beundra
hospitalisera	vb_1a_beundra
hosta	vb_1a_beundra
humanisera	vb_1a_beundra
hundsa	vb_1a_beundra
hundsfottera	vb_1a_beundra
hunsa	vb_1a_beundra
husera	vb_1a_beundra
hybridisera	vb_1a_beundra
hydrera	vb_1a_beundra
hylla	vb_1a_beundra
hypa	vb_1a_beundra
hypnotisera	vb_1a_beundra
hypotisera	vb_1a_beundra
hyresreglera	vb_1a_beundra
idealisera	vb_1a_beundra
identifiera	vb_1a_beundra
idiotförklara	vb_1a_beundra
ignorera	vb_1a_beundra
illuminera	vb_1a_beundra
illustrera	vb_1a_beundra
imitera	vb_1a_beundra
immatrikulera	vb_1a_beundra
immigrera	vb_1a_beundra
immunisera	vb_1a_beundra
implantera	vb_1a_beundra
implementera	vb_1a_beundra
implicera	vb_1a_beundra
implodera	vb_1a_beundra
imponera	vb_1a_beundra
importera	vb_1a_beundra
impregnera	vb_1a_beundra
improvisera	vb_1a_beundra
inackordera	vb_1a_beundra
inaktivera	vb_1a_beundra
inaugurera	vb_1a_beundra
indexera	vb_1a_beundra
indexreglera	vb_1a_beundra
indicera	vb_1a_beundra
indikera	vb_1a_beundra
individualisera	vb_1a_beundra
indoktrinera	vb_1a_beundra
inducera	vb_1a_beundra
industrialisera	vb_1a_beundra
infantilisera	vb_1a_beundra
infektera	vb_1a_beundra
infiltrera	vb_1a_beundra
inflammera	vb_1a_beundra
influera	vb_1a_beundra
infodra	vb_1a_beundra
infordra	vb_1a_beundra
informera	vb_1a_beundra
ingärda	vb_1a_beundra
ingravera	vb_1a_beundra
inhalera	vb_1a_beundra
inhandla	vb_1a_beundra
inhibera	vb_1a_beundra
inhibitera	vb_1a_beundra
initiera	vb_1a_beundra
injektera	vb_1a_beundra
injicera	vb_1a_beundra
inkapsla	vb_1a_beundra
inkarnera	vb_1a_beundra
inkassera	vb_1a_beundra
inklarera	vb_1a_beundra
inkludera	vb_1a_beundra
inkompetensförklara	vb_1a_beundra
inkomstpröva	vb_1a_beundra
inkomsttaxera	vb_1a_beundra
inkoppla	vb_1a_beundra
inkorporera	vb_1a_beundra
inkrustera	vb_1a_beundra
inkvartera	vb_1a_beundra
inlämna	vb_1a_beundra
inlemma	vb_1a_beundra
inleverera	vb_1a_beundra
inmönstra	vb_1a_beundra
innervera	vb_1a_beundra
inokulera	vb_1a_beundra
inplantera	vb_1a_beundra
inprägla	vb_1a_beundra
inpränta	vb_1a_beundra
inrangera	vb_1a_beundra
inrapportera	vb_1a_beundra
inregistrera	vb_1a_beundra
inrikta	vb_1a_beundra
insamla	vb_1a_beundra
inscenera	vb_1a_beundra
insegla	vb_1a_beundra
inseminera	vb_1a_beundra
insinuera	vb_1a_beundra
insistera	vb_1a_beundra
inskaffa	vb_1a_beundra
insöndra	vb_1a_beundra
inspektera	vb_1a_beundra
inspirera	vb_1a_beundra
installera	vb_1a_beundra
institutionalisera	vb_1a_beundra
instruera	vb_1a_beundra
instrumentera	vb_1a_beundra
instudera	vb_1a_beundra
integrera	vb_1a_beundra
intellektualisera	vb_1a_beundra
intensifiera	vb_1a_beundra
intensivera	vb_1a_beundra
interfoliera	vb_1a_beundra
internalisera	vb_1a_beundra
internationalisera	vb_1a_beundra
internera	vb_1a_beundra
interpellera	vb_1a_beundra
interpolera	vb_1a_beundra
interpretera	vb_1a_beundra
interpunktera	vb_1a_beundra
intervenera	vb_1a_beundra
intimisera	vb_1a_beundra
intonera	vb_1a_beundra
inträffa	vb_1a_beundra
intressera	vb_1a_beundra
introducera	vb_1a_beundra
invadera	vb_1a_beundra
invalidisera	vb_1a_beundra
invandra	vb_1a_beundra
invänta	vb_1a_beundra
inventera	vb_1a_beundra
invertera	vb_1a_beundra
investera	vb_1a_beundra
invitera	vb_1a_beundra
involvera	vb_1a_beundra
inympa	vb_1a_beundra
islamisera	vb_1a_beundra
iterera	vb_1a_beundra
ivägskicka	vb_1a_beundra
jaga	vb_1a_beundra
jämna	vb_1a_beundra
jazzifiera	vb_1a_beundra
jodera	vb_1a_beundra
jonglera	vb_1a_beundra
jonisera	vb_1a_beundra
julpynta	vb_1a_beundra
justera	vb_1a_beundra
kakla	vb_1a_beundra
kalandrera	vb_1a_beundra
kalcinera	vb_1a_beundra
kalfatra	vb_1a_beundra
kalibrera	vb_1a_beundra
kalkera	vb_1a_beundra
kalkylera	vb_1a_beundra
kallhamra	vb_1a_beundra
källsortera	vb_1a_beundra
kallstarta	vb_1a_beundra
kalmera	vb_1a_beundra
kameraövervaka	vb_1a_beundra
kamma	vb_1a_beundra
kamouflera	vb_1a_beundra
kampanja	vb_1a_beundra
kanalisera	vb_1a_beundra
kandera	vb_1a_beundra
kannelera	vb_1a_beundra
känneteckna	vb_1a_beundra
kanonisera	vb_1a_beundra
kanta	vb_1a_beundra
kanthyvla	vb_1a_beundra
kantra	vb_1a_beundra
kapitalisera	vb_1a_beundra
karaktärisera	vb_1a_beundra
karakterisera	vb_1a_beundra
karambolera	vb_1a_beundra
karbonisera	vb_1a_beundra
karikera	vb_1a_beundra
kartera	vb_1a_beundra
kartonnera	vb_1a_beundra
kaskadkoppla	vb_1a_beundra
kassera	vb_1a_beundra
kastrera	vb_1a_beundra
katalogisera	vb_1a_beundra
katalysera	vb_1a_beundra
kategorisera	vb_1a_beundra
kateterisera	vb_1a_beundra
katetrisera	vb_1a_beundra
katta	vb_1a_beundra
kauterisera	vb_1a_beundra
kedja	vb_1a_beundra
kila	vb_1a_beundra
kindpussa	vb_1a_beundra
klamra	vb_1a_beundra
klara	vb_1a_beundra
klarera	vb_1a_beundra
klassificera	vb_1a_beundra
klicka	vb_1a_beundra
klitta	vb_1a_beundra
klorera	vb_1a_beundra
kloroformera	vb_1a_beundra
klustra	vb_1a_beundra
klyfta	vb_1a_beundra
knäa	vb_1a_beundra
knäskura	vb_1a_beundra
kniva	vb_1a_beundra
knivdöda	vb_1a_beundra
knivmörda	vb_1a_beundra
knopa	vb_1a_beundra
knuttimra	vb_1a_beundra
koaffera	vb_1a_beundra
koagulera	vb_1a_beundra
koda	vb_1a_beundra
kodifiera	vb_1a_beundra
koja	vb_1a_beundra
kojsa	vb_1a_beundra
kölhala	vb_1a_beundra
kollationera	vb_1a_beundra
kolla	vb_1a_beundra
kollektivisera	vb_1a_beundra
kolonisera	vb_1a_beundra
kolorera	vb_1a_beundra
kolportera	vb_1a_beundra
kombinera	vb_1a_beundra
kommatera	vb_1a_beundra
kommendera	vb_1a_beundra
kommentera	vb_1a_beundra
kommersialisera	vb_1a_beundra
kommodifiera	vb_1a_beundra
kommunalisera	vb_1a_beundra
kommunicera	vb_1a_beundra
kommutera	vb_1a_beundra
komparera	vb_1a_beundra
kompensera	vb_1a_beundra
kompetensförklara	vb_1a_beundra
kompilera	vb_1a_beundra
komplettera	vb_1a_beundra
komplicera	vb_1a_beundra
komplimentera	vb_1a_beundra
komponera	vb_1a_beundra
kompostera	vb_1a_beundra
komprimera	vb_1a_beundra
kompromettera	vb_1a_beundra
koncentrera	vb_1a_beundra
koncessionera	vb_1a_beundra
koncipiera	vb_1a_beundra
kondemnera	vb_1a_beundra
kondensera	vb_1a_beundra
konditionera	vb_1a_beundra
kondolera	vb_1a_beundra
konfigurera	vb_1a_beundra
konfirmera	vb_1a_beundra
konfiskera	vb_1a_beundra
konformera	vb_1a_beundra
konfrontera	vb_1a_beundra
konfundera	vb_1a_beundra
kongruera	vb_1a_beundra
konjugera	vb_1a_beundra
konkludera	vb_1a_beundra
konkretisera	vb_1a_beundra
könsdiskriminera	vb_1a_beundra
konservera	vb_1a_beundra
konsignera	vb_1a_beundra
könskvotera	vb_1a_beundra
konsolidera	vb_1a_beundra
konstatera	vb_1a_beundra
konsternera	vb_1a_beundra
konstituera	vb_1a_beundra
konstruera	vb_1a_beundra
konsultera	vb_1a_beundra
konsumera	vb_1a_beundra
kontaminera	vb_1a_beundra
kontera	vb_1a_beundra
kontingentera	vb_1a_beundra
kontorisera	vb_1a_beundra
kontrahera	vb_1a_beundra
kontraktera	vb_1a_beundra
kontramandera	vb_1a_beundra
kontrasignera	vb_1a_beundra
kontrastera	vb_1a_beundra
kontribuera	vb_1a_beundra
kontrollera	vb_1a_beundra
kontrollstämpla	vb_1a_beundra
konturera	vb_1a_beundra
konvergera	vb_1a_beundra
konversera	vb_1a_beundra
konvertera	vb_1a_beundra
konvojera	vb_1a_beundra
koordinera	vb_1a_beundra
kopiera	vb_1a_beundra
koreografera	vb_1a_beundra
korpa	vb_1a_beundra
korrelera	vb_1a_beundra
korrigera	vb_1a_beundra
korrodera	vb_1a_beundra
korrugera	vb_1a_beundra
korrumpera	vb_1a_beundra
korsettera	vb_1a_beundra
korsvädra	vb_1a_beundra
kortla	vb_1a_beundra
kortpassa	vb_1a_beundra
kostnadsberäkna	vb_1a_beundra
kostymera	vb_1a_beundra
kottla	vb_1a_beundra
kracka	vb_1a_beundra
krackelera	vb_1a_beundra
kraftsamla	vb_1a_beundra
kråma	vb_1a_beundra
kreditera	vb_1a_beundra
kreera	vb_1a_beundra
kremera	vb_1a_beundra
kreolisera	vb_1a_beundra
krepera	vb_1a_beundra
krevera	vb_1a_beundra
krigsplacera	vb_1a_beundra
kriminalisera	vb_1a_beundra
kristallisera	vb_1a_beundra
kritisera	vb_1a_beundra
kroma	vb_1a_beundra
kroppsvisitera	vb_1a_beundra
krusa	vb_1a_beundra
kryptera	vb_1a_beundra
kubera	vb_1a_beundra
kujonera	vb_1a_beundra
kultivera	vb_1a_beundra
kumulera	vb_1a_beundra
kupera	vb_1a_beundra
kuratera	vb_1a_beundra
kurera	vb_1a_beundra
kursa	vb_1a_beundra
kursivera	vb_1a_beundra
kurtisera	vb_1a_beundra
kuvertera	vb_1a_beundra
kvadrera	vb_1a_beundra
kvalificera	vb_1a_beundra
kvalitetsgranska	vb_1a_beundra
kvalitetssäkra	vb_1a_beundra
kvantifiera	vb_1a_beundra
kvarlämna	vb_1a_beundra
kvitta	vb_1a_beundra
kvittera	vb_1a_beundra
kvotera	vb_1a_beundra
kyllagra	vb_1a_beundra
kypra	vb_1a_beundra
labialisera	vb_1a_beundra
lacka	vb_1a_beundra
lackera	vb_1a_beundra
lädera	vb_1a_beundra
lågprioritera	vb_1a_beundra
lagra	vb_1a_beundra
lägra	vb_1a_beundra
läktra	vb_1a_beundra
lamentera	vb_1a_beundra
laminera	vb_1a_beundra
landa	vb_1a_beundra
langettera	vb_1a_beundra
långtidsparkera	vb_1a_beundra
lansera	vb_1a_beundra
länspumpa	vb_1a_beundra
lapisera	vb_1a_beundra
larma	vb_1a_beundra
lasera	vb_1a_beundra
latinisera	vb_1a_beundra
lätta	vb_1a_beundra
lavera	vb_1a_beundra
leda	vb_1a_beundra
ledigförklara	vb_1a_beundra
legalisera	vb_1a_beundra
legera	vb_1a_beundra
legitimera	vb_1a_beundra
lejdra	vb_1a_beundra
leverera	vb_1a_beundra
liberalisera	vb_1a_beundra
licensera	vb_1a_beundra
licensiera	vb_1a_beundra
licentiera	vb_1a_beundra
liera	vb_1a_beundra
lika	vb_1a_beundra
likvidera	vb_1a_beundra
limma	vb_1a_beundra
lindra	vb_1a_beundra
linjera	vb_1a_beundra
lira	vb_1a_beundra
lissera	vb_1a_beundra
litografera	vb_1a_beundra
livförsäkra	vb_1a_beundra
ljudisolera	vb_1a_beundra
ljuskopiera	vb_1a_beundra
logera	vb_1a_beundra
lokalisera	vb_1a_beundra
loppa	vb_1a_beundra
löskoka	vb_1a_beundra
luffa	vb_1a_beundra
lufta	vb_1a_beundra
lurpassa	vb_1a_beundra
luta	vb_1a_beundra
luteinisera	vb_1a_beundra
lyxkonsumera	vb_1a_beundra
lyxrenovera	vb_1a_beundra
madrassera	vb_1a_beundra
magasinera	vb_1a_beundra
magnetisera	vb_1a_beundra
maila	vb_1a_beundra
mäkla	vb_1a_beundra
makulera	vb_1a_beundra
malfobera	vb_1a_beundra
malträtera	vb_1a_beundra
mana	vb_1a_beundra
mångdubbla	vb_1a_beundra
mångfaldiga	vb_1a_beundra
manifestera	vb_1a_beundra
manikurera	vb_1a_beundra
manikyrera	vb_1a_beundra
manipulera	vb_1a_beundra
manövrera	vb_1a_beundra
marginalisera	vb_1a_beundra
marinera	vb_1a_beundra
marknadsanpassa	vb_1a_beundra
marknadsvärdera	vb_1a_beundra
marmorera	vb_1a_beundra
martera	vb_1a_beundra
maskera	vb_1a_beundra
maskinbrodera	vb_1a_beundra
maskulinisera	vb_1a_beundra
massakrera	vb_1a_beundra
massavskeda	vb_1a_beundra
massera	vb_1a_beundra
massproducera	vb_1a_beundra
mästra	vb_1a_beundra
mata	vb_1a_beundra
matelassera	vb_1a_beundra
materialisera	vb_1a_beundra
mattera	vb_1a_beundra
maxa	vb_1a_beundra
maximera	vb_1a_beundra
medaljera	vb_1a_beundra
meddela	vb_1a_beundra
medicinera	vb_1a_beundra
mejla	vb_1a_beundra
mejlbomba	vb_1a_beundra
mejsla	vb_1a_beundra
mekanisera	vb_1a_beundra
mellanlanda	vb_1a_beundra
memorera	vb_1a_beundra
mensa	vb_1a_beundra
mercerisera	vb_1a_beundra
meritera	vb_1a_beundra
metallisera	vb_1a_beundra
micra	vb_1a_beundra
mikra	vb_1a_beundra
mikroblogga	vb_1a_beundra
mikrofotografera	vb_1a_beundra
mikroskopera	vb_1a_beundra
mildra	vb_1a_beundra
militarisera	vb_1a_beundra
miljöcertifiera	vb_1a_beundra
miljöförstöra	vb_1a_beundra
mineralisera	vb_1a_beundra
minera	vb_1a_beundra
miniatyrisera	vb_1a_beundra
minimera	vb_1a_beundra
misshandla	vb_1a_beundra
missivera	vb_1a_beundra
misskreditera	vb_1a_beundra
missunna	vb_1a_beundra
mjuklanda	vb_1a_beundra
mobilisera	vb_1a_beundra
möblera	vb_1a_beundra
modärnisera	vb_1a_beundra
moderera	vb_1a_beundra
modernisera	vb_1a_beundra
modifiera	vb_1a_beundra
modulera	vb_1a_beundra
monoftongera	vb_1a_beundra
monopolisera	vb_1a_beundra
montera	vb_1a_beundra
mordhota	vb_1a_beundra
mörka	vb_1a_beundra
morsera	vb_1a_beundra
mortificera	vb_1a_beundra
mortifiera	vb_1a_beundra
motivera	vb_1a_beundra
motorisera	vb_1a_beundra
mula	vb_1a_beundra
muljera	vb_1a_beundra
multiplicera	vb_1a_beundra
mumifiera	vb_1a_beundra
muta	vb_1a_beundra
mutera	vb_1a_beundra
mylla	vb_1a_beundra
mystifiera	vb_1a_beundra
mytifiera	vb_1a_beundra
nåda	vb_1a_beundra
nagla	vb_1a_beundra
nåla	vb_1a_beundra
namna	vb_1a_beundra
närstudera	vb_1a_beundra
nasalera	vb_1a_beundra
nasalisera	vb_1a_beundra
nasa	vb_1a_beundra
nåta	vb_1a_beundra
näta	vb_1a_beundra
nationalisera	vb_1a_beundra
naturalisera	vb_1a_beundra
navigera	vb_1a_beundra
navla	vb_1a_beundra
nedjustera	vb_1a_beundra
nedkavla	vb_1a_beundra
nedmontera	vb_1a_beundra
nedtransformera	vb_1a_beundra
nedtransponera	vb_1a_beundra
nedtysta	vb_1a_beundra
nedvärdera	vb_1a_beundra
negera	vb_1a_beundra
negligera	vb_1a_beundra
negociera	vb_1a_beundra
negotiera	vb_1a_beundra
neka	vb_1a_beundra
nerkavla	vb_1a_beundra
nertransformera	vb_1a_beundra
nertransponera	vb_1a_beundra
nertysta	vb_1a_beundra
nervärdera	vb_1a_beundra
neurotisera	vb_1a_beundra
neutralisera	vb_1a_beundra
nia	vb_1a_beundra
nicka	vb_1a_beundra
niellera	vb_1a_beundra
nita	vb_1a_beundra
nitrera	vb_1a_beundra
nivågruppera	vb_1a_beundra
nivellera	vb_1a_beundra
nobilisera	vb_1a_beundra
nödbromsa	vb_1a_beundra
nödga	vb_1a_beundra
nödlanda	vb_1a_beundra
nödöppna	vb_1a_beundra
nödsaka	vb_1a_beundra
nödstoppa	vb_1a_beundra
nöjesmörda	vb_1a_beundra
nolla	vb_1a_beundra
nonchalera	vb_1a_beundra
noppra	vb_1a_beundra
normalisera	vb_1a_beundra
normera	vb_1a_beundra
nota	vb_1a_beundra
notera	vb_1a_beundra
notificera	vb_1a_beundra
notifiera	vb_1a_beundra
notisera	vb_1a_beundra
nubba	vb_1a_beundra
numrera	vb_1a_beundra
nuppa	vb_1a_beundra
nyansera	vb_1a_beundra
nyanskaffa	vb_1a_beundra
nyemittera	vb_1a_beundra
nyetablera	vb_1a_beundra
nyinvestera	vb_1a_beundra
nyodla	vb_1a_beundra
nyplantera	vb_1a_beundra
nyteckna	vb_1a_beundra
nyttja	vb_1a_beundra
obducera	vb_1a_beundra
objektivera	vb_1a_beundra
obligera	vb_1a_beundra
observera	vb_1a_beundra
occidentalisera	vb_1a_beundra
ockultera	vb_1a_beundra
ockupera	vb_1a_beundra
OCR-a	vb_1a_beundra
OCR:a	vb_1a_beundra
odla	vb_1a_beundra
ödsla	vb_1a_beundra
offerera	vb_1a_beundra
ogiltigförklara	vb_1a_beundra
ögonflirta	vb_1a_beundra
ögonflörta	vb_1a_beundra
okeja	vb_1a_beundra
oktrojera	vb_1a_beundra
okulera	vb_1a_beundra
olagligförklara	vb_1a_beundra
olla	vb_1a_beundra
omändra	vb_1a_beundra
omdirigera	vb_1a_beundra
omförhandla	vb_1a_beundra
omformulera	vb_1a_beundra
omgruppera	vb_1a_beundra
omkasta	vb_1a_beundra
omkostymera	vb_1a_beundra
omkullkasta	vb_1a_beundra
omlokalisera	vb_1a_beundra
ommöblera	vb_1a_beundra
omorganisera	vb_1a_beundra
omplacera	vb_1a_beundra
omplåstra	vb_1a_beundra
omprioritera	vb_1a_beundra
omräkna	vb_1a_beundra
omskulpturera	vb_1a_beundra
omslingra	vb_1a_beundra
omstrukturera	vb_1a_beundra
omtala	vb_1a_beundra
omvandla	vb_1a_beundra
omvärdera	vb_1a_beundra
omyndigförklara	vb_1a_beundra
ondulera	vb_1a_beundra
operationalisera	vb_1a_beundra
operera	vb_1a_beundra
oppamma	vb_1a_beundra
oppassa	vb_1a_beundra
oppdatera	vb_1a_beundra
oppfostra	vb_1a_beundra
oppjustera	vb_1a_beundra
oppmuntra	vb_1a_beundra
öppna	vb_1a_beundra
opponera	vb_1a_beundra
oppräkna	vb_1a_beundra
oppsamla	vb_1a_beundra
oppsummera	vb_1a_beundra
oppvärdera	vb_1a_beundra
oppvisa	vb_1a_beundra
optimera	vb_1a_beundra
ordinera	vb_1a_beundra
ordna	vb_1a_beundra
organisera	vb_1a_beundra
orientera	vb_1a_beundra
orkestrera	vb_1a_beundra
ornamentera	vb_1a_beundra
ornera	vb_1a_beundra
osäkra	vb_1a_beundra
outa	vb_1a_beundra
överbelåna	vb_1a_beundra
överbelasta	vb_1a_beundra
överbrygga	vb_1a_beundra
överdebitera	vb_1a_beundra
överdimensionera	vb_1a_beundra
överdosera	vb_1a_beundra
överexponera	vb_1a_beundra
överflygla	vb_1a_beundra
överkompensera	vb_1a_beundra
överlagra	vb_1a_beundra
överlämna	vb_1a_beundra
övermätta	vb_1a_beundra
överordna	vb_1a_beundra
överraska	vb_1a_beundra
överrenovera	vb_1a_beundra
överrumpla	vb_1a_beundra
överskruva	vb_1a_beundra
överstegra	vb_1a_beundra
översvämma	vb_1a_beundra
övertrassera	vb_1a_beundra
överutnyttja	vb_1a_beundra
övervältra	vb_1a_beundra
övervärdera	vb_1a_beundra
övervintra	vb_1a_beundra
oxidera	vb_1a_beundra
påannonsera	vb_1a_beundra
påa	vb_1a_beundra
påbörda	vb_1a_beundra
påbörja	vb_1a_beundra
pacificera	vb_1a_beundra
pådyvla	vb_1a_beundra
påfordra	vb_1a_beundra
paginera	vb_1a_beundra
paketera	vb_1a_beundra
palatalisera	vb_1a_beundra
paljettera	vb_1a_beundra
palla	vb_1a_beundra
palpera	vb_1a_beundra
panera	vb_1a_beundra
panga	vb_1a_beundra
panorera	vb_1a_beundra
pansra	vb_1a_beundra
pantografera	vb_1a_beundra
paradera	vb_1a_beundra
parafera	vb_1a_beundra
paraffinera	vb_1a_beundra
parafrasera	vb_1a_beundra
parallellisera	vb_1a_beundra
parallellkoppla	vb_1a_beundra
paralysera	vb_1a_beundra
parera	vb_1a_beundra
parfymera	vb_1a_beundra
parkera	vb_1a_beundra
parkettera	vb_1a_beundra
parodiera	vb_1a_beundra
påropa	vb_1a_beundra
passera	vb_1a_beundra
passivera	vb_1a_beundra
passivisera	vb_1a_beundra
pastörisera	vb_1a_beundra
patentera	vb_1a_beundra
patinera	vb_1a_beundra
patrullera	vb_1a_beundra
pauperisera	vb_1a_beundra
pausera	vb_1a_beundra
pauskommatera	vb_1a_beundra
påvisa	vb_1a_beundra
pejla	vb_1a_beundra
pelletera	vb_1a_beundra
penetrera	vb_1a_beundra
pensionera	vb_1a_beundra
pepparspreja	vb_1a_beundra
peppa	vb_1a_beundra
peppra	vb_1a_beundra
percipiera	vb_1a_beundra
perforera	vb_1a_beundra
periodisera	vb_1a_beundra
permanentondulera	vb_1a_beundra
permittera	vb_1a_beundra
permutera	vb_1a_beundra
persiflera	vb_1a_beundra
personifiera	vb_1a_beundra
personkryssa	vb_1a_beundra
persvadera	vb_1a_beundra
perturbera	vb_1a_beundra
pervertera	vb_1a_beundra
petitionera	vb_1a_beundra
petrifiera	vb_1a_beundra
pierca	vb_1a_beundra
pikera	vb_1a_beundra
pincera	vb_1a_beundra
pinna	vb_1a_beundra
piratkopiera	vb_1a_beundra
pistolhota	vb_1a_beundra
placera	vb_1a_beundra
plagiera	vb_1a_beundra
planera	vb_1a_beundra
planka	vb_1a_beundra
planta	vb_1a_beundra
plantera	vb_1a_beundra
plastikoperera	vb_1a_beundra
plåstra	vb_1a_beundra
plätera	vb_1a_beundra
platinera	vb_1a_beundra
plissera	vb_1a_beundra
plombera	vb_1a_beundra
poängtera	vb_1a_beundra
pochera	vb_1a_beundra
pointera	vb_1a_beundra
polarisera	vb_1a_beundra
polera	vb_1a_beundra
politisera	vb_1a_beundra
pollettera	vb_1a_beundra
pollinera	vb_1a_beundra
pomadera	vb_1a_beundra
poppa	vb_1a_beundra
popularisera	vb_1a_beundra
porta	vb_1a_beundra
portionera	vb_1a_beundra
porträttera	vb_1a_beundra
positionera	vb_1a_beundra
posta	vb_1a_beundra
postdatera	vb_1a_beundra
postera	vb_1a_beundra
postponera	vb_1a_beundra
poststämpla	vb_1a_beundra
postulera	vb_1a_beundra
potentiera	vb_1a_beundra
prägla	vb_1a_beundra
praktisera	vb_1a_beundra
pråma	vb_1a_beundra
precisera	vb_1a_beundra
predestinera	vb_1a_beundra
predicera	vb_1a_beundra
predisponera	vb_1a_beundra
prefabricera	vb_1a_beundra
preferera	vb_1a_beundra
prefigera	vb_1a_beundra
preja	vb_1a_beundra
preludiera	vb_1a_beundra
premiärvisa	vb_1a_beundra
premiera	vb_1a_beundra
preparera	vb_1a_beundra
presenta	vb_1a_beundra
presentera	vb_1a_beundra
preservera	vb_1a_beundra
preskribera	vb_1a_beundra
prestera	vb_1a_beundra
presumera	vb_1a_beundra
prioritera	vb_1a_beundra
prisreducera	vb_1a_beundra
prisreglera	vb_1a_beundra
privatisera	vb_1a_beundra
privatkopiera	vb_1a_beundra
privilegiera	vb_1a_beundra
probera	vb_1a_beundra
problematisera	vb_1a_beundra
processa	vb_1a_beundra
profanera	vb_1a_beundra
professionalisera	vb_1a_beundra
profilera	vb_1a_beundra
prognostisera	vb_1a_beundra
programmera	vb_1a_beundra
projektera	vb_1a_beundra
projicera	vb_1a_beundra
proklamera	vb_1a_beundra
proletarisera	vb_1a_beundra
prolongera	vb_1a_beundra
promota	vb_1a_beundra
promovera	vb_1a_beundra
promulgera	vb_1a_beundra
pronera	vb_1a_beundra
prononcera	vb_1a_beundra
proponera	vb_1a_beundra
proportionera	vb_1a_beundra
proskribera	vb_1a_beundra
prospektera	vb_1a_beundra
protegera	vb_1a_beundra
protokollera	vb_1a_beundra
provocera	vb_1a_beundra
provrörsbefrukta	vb_1a_beundra
provsmaka	vb_1a_beundra
provspela	vb_1a_beundra
psykoanalysera	vb_1a_beundra
psykologisera	vb_1a_beundra
publicera	vb_1a_beundra
pudra	vb_1a_beundra
puffa	vb_1a_beundra
pulverisera	vb_1a_beundra
pulverlackera	vb_1a_beundra
pulvrisera	vb_1a_beundra
punkta	vb_1a_beundra
punktbevaka	vb_1a_beundra
punktera	vb_1a_beundra
punktmarkera	vb_1a_beundra
punsa	vb_1a_beundra
purgera	vb_1a_beundra
purpra	vb_1a_beundra
pusha	vb_1a_beundra
putsa	vb_1a_beundra
putta	vb_1a_beundra
rabattera	vb_1a_beundra
racka	vb_1a_beundra
radera	vb_1a_beundra
radiera	vb_1a_beundra
radikalisera	vb_1a_beundra
raffinera	vb_1a_beundra
råga	vb_1a_beundra
ramma	vb_1a_beundra
ramponera	vb_1a_beundra
randomisera	vb_1a_beundra
rangera	vb_1a_beundra
rangordna	vb_1a_beundra
ransonera	vb_1a_beundra
rappellera	vb_1a_beundra
rapportera	vb_1a_beundra
rasdiskriminera	vb_1a_beundra
rasera	vb_1a_beundra
ratificera	vb_1a_beundra
rationalisera	vb_1a_beundra
reaktivera	vb_1a_beundra
realisera	vb_1a_beundra
reassurera	vb_1a_beundra
rea	vb_1a_beundra
recensera	vb_1a_beundra
recipiera	vb_1a_beundra
recitera	vb_1a_beundra
redigera	vb_1a_beundra
redovisa	vb_1a_beundra
redubbla	vb_1a_beundra
reducera	vb_1a_beundra
reduplicera	vb_1a_beundra
reexportera	vb_1a_beundra
referera	vb_1a_beundra
reflektera	vb_1a_beundra
reformera	vb_1a_beundra
refusera	vb_1a_beundra
regalera	vb_1a_beundra
regenerera	vb_1a_beundra
regera	vb_1a_beundra
regissera	vb_1a_beundra
registrera	vb_1a_beundra
reglementera	vb_1a_beundra
reglera	vb_1a_beundra
regrediera	vb_1a_beundra
regummera	vb_1a_beundra
rehabilitera	vb_1a_beundra
reinkarnera	vb_1a_beundra
rekapitulera	vb_1a_beundra
reklamera	vb_1a_beundra
rekognoscera	vb_1a_beundra
rekognosera	vb_1a_beundra
rekommendera	vb_1a_beundra
rekompensera	vb_1a_beundra
rekonstruera	vb_1a_beundra
rekrytera	vb_1a_beundra
rektificera	vb_1a_beundra
rektifiera	vb_1a_beundra
rekvirera	vb_1a_beundra
relatera	vb_1a_beundra
relativisera	vb_1a_beundra
relegera	vb_1a_beundra
remissbehandla	vb_1a_beundra
remittera	vb_1a_beundra
remma	vb_1a_beundra
remplacera	vb_1a_beundra
rena	vb_1a_beundra
rendera	vb_1a_beundra
renodla	vb_1a_beundra
renovera	vb_1a_beundra
reorganisera	vb_1a_beundra
reparera	vb_1a_beundra
repartisera	vb_1a_beundra
repatriera	vb_1a_beundra
repellera	vb_1a_beundra
repetera	vb_1a_beundra
representera	vb_1a_beundra
reprisera	vb_1a_beundra
reproducera	vb_1a_beundra
reservera	vb_1a_beundra
resolvera	vb_1a_beundra
resorbera	vb_1a_beundra
respektera	vb_1a_beundra
respirera	vb_1a_beundra
